M6PR	PLIN3
INPP4A	MTMR2
INPP4A	SYNJ2
INPP4A	INPP5D
INPP4A	PIK3C2B
INPP4A	PIP5K1A
INPP4A	PTEN
INPP4A	MTMR6
INPP4A	INPP5J
INPP4A	MTMR3
INPP4A	PIK3R5
INPP4A	SYNJ1
INPP4A	INPP5K
GNA11	P2RY10
GNA11	PROKR2
GNA11	MLNR
GNA11	MAPK14
GNA11	KISS1R
GNA11	RGS2
GNA11	KALRN
GNA11	PLCG1
GNA11	GNRH2
GNA11	GNGT1
GNA11	GNAZ
GNA11	MCHR1
GNA11	NMUR2
GNA11	NMBR
GNA11	HTR2B
GNA11	PLCB2
GNA11	GNB5
GNA11	GNAO1
GNA11	SLC9A3R1
GNA11	GNA15
GNA11	PIK3CA
GNA11	KNG1
GNA11	GPR65
GNA11	PROK1
GNA11	GPR17
GNA11	PIK3R1
GNA11	GNRH1
GNA11	NPFFR1
GNA11	PLCB3
GNA11	MCHR2
GNA11	GRM1
GNA11	GNAQ
GNA11	PTGER1
GNA11	PROK2
GNA11	PTAFR
GNA11	TACR3
GNA11	TACR1
GNA11	NTSR2
GNA11	PROKR1
GNA11	P2RY1
GNA11	NMUR1
GNA11	GRM5
GNA11	LTB4R
GNA11	NPFFR2
GNA11	GPRC6A
GNA11	PRKACA
GNA11	P2RY6
GNA11	TRHR
GNA11	P2RY2
GNA11	XCR1
GNA11	GPR4
GNA11	TAC1
GNA11	UTS2R
GNA11	OXTR
GNA11	LPAR5
GNA11	GPR132
GNA11	PLCB4
GNA11	PLCB1
GNA11	TRIO
GNA11	TRPC6
GNA11	GNAI1
GNA11	LPAR6
GNA11	UBC
GNA11	QRFP
GNA11	SAA1
GNA11	S1PR3
GNA11	LPAR1
GNA11	NPSR1
GNA11	MAPK8
GNA11	PLA2G4A
GNA11	XCL1
GNA11	GNAI3
GNA11	NTSR1
GNA11	LPAR3
GNA11	PTGFR
GNA11	HCRTR2
GNA11	OPN4
GNA11	LPAR4
GNA11	TACR2
GNA11	HCRTR1
GNA11	GNA14
GNA11	NMS
GNA11	GNB1
GNA11	HTR2A
GNA11	GRPR
GNA11	RIC8B
GNA11	GRK5
GNA11	QRFPR
GNA11	NMB
GNA11	HRH1
GNA11	LPAR2
GNA11	MLN
GNA11	LTB4R2
GNA11	GPR68
MRPS35	MRPS5
APPBP2	AR
CD22	CD79A
CD22	NR0B2
CD22	GRB2
CD22	PTPRC
CD22	SYK
CD22	CD79B
CD22	LYN
KCNQ1	SLC12A2
KCNQ1	KCNQ4
KCNQ1	KCNS2
KCNQ1	KCNV1
KCNQ1	KCNS3
KCNQ1	KCNS1
KCNQ1	PRKACA
KCNQ1	SCN5A
KCNQ1	KCNQ5
KCNQ1	KCNQ2
KCNQ1	KCNV2
KCNQ1	KCNQ3
KCNQ1	NEDD4L
OTUD5	RPS27A
AQR	RBM22
AQR	PRPF19
AQR	CDC40
AQR	CDC5L
ST6GALNAC1	WBSCR17
MBD3	SNAI2
MBD3	RRN3
MBD3	TBP
MBD3	SNAI1
MBD3	MNAT1
MBD3	POLR1B
MBD3	TAF1B
MBD3	POLR1A
MBD3	MECOM
MBD3	MTA2
MBD3	SMARCA5
MBD3	POLR2H
MBD3	POLR1D
MBD3	UBTF
MBD3	MTA1
MBD3	TTF1
MBD3	SMARCA4
MBD3	POLR1C
MBD3	RBBP4
MBD3	TAF1C
MBD3	RBBP7
MBD3	MTA3
PSMC4	PSMD5
PSMC4	PSMD8
PSMC4	PSMD10
PSMC4	PSMD7
PSMC4	SEC61B
PSMC4	RPS6KB1
PSMC4	SEC61A1
PSMC4	USP14
PSMC4	PSMD11
PSMC4	PSMD3
PSMC4	RPS27A
PSMC4	SKP2
PSMC4	PSME3
PSMC4	PSMD6
PSMC4	UBLCP1
PSMC4	SEC61A2
PSMC4	UBE2E1
PSMC4	PSMD1
PSMC4	PSMD2
PSMC4	TNKS
PSMC4	PSMF1
PSMC4	SEC61G
PSMC4	UBC
PSMC4	PTTG1
PSMC4	PSMD12
PSMC4	SMURF1
PSMC4	UCHL5
PSMC4	RFWD2
PSMC4	RNF146
PSMC4	PSMD4
PSMC4	TNKS2
PSMC4	TPP2
PSMC4	PSME1
PSMC4	UBFD1
PSMC4	PSME4
PSMC4	PSMD14
PSMC4	UBA52
PSMC4	PSMD13
PSMC4	PSMC6
PSMC4	PSMD9
CAMKK1	PRKAB1
CAMKK1	PRKAG3
CAMKK1	PPP1R12C
CAMKK1	CCNA2
CAMKK1	PRKAG2
CAMKK1	CDK5R2
CAMKK1	CAMKK2
CAMKK1	PRKAG1
CAMKK1	CCND3
ACAP1	PLD2
ACAP1	CLTC
ACAP1	ARF6
ACAP1	SLC2A4
ACAP1	PLD1
ACAP1	GULP1
NOX3	VCAM1
NOX3	NOXA1
NOX3	RAC1
KDM4B	MLL2
ICAM3	ITGB2
ICAM3	ICAM4
ICAM3	ITGAL
ICAM3	MSN
ICAM3	ITGAD
CTTNBP2	PPP2CB
CTTNBP2	STRN
CTTNBP2	CTTNBP2NL
CTTNBP2	PPP2R1B
CTTNBP2	MOB4
CTTNBP2	TCP1
CTTNBP2	PPP2R1A
CTTNBP2	STK25
CTTNBP2	STRN3
CTTNBP2	STK24
CTTNBP2	STRN4
CTTNBP2	PDCD10
CTTNBP2	STK3
CTTNBP2	PPP2CA
ACTL6B	SMARCC1
ACTL6B	SMARCD3
